# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
aba	阿巴 阿坝 阿爸
abadan	阿巴丹
abalaqiya	阿巴拉契亚
abaoji	阿保机
abasi	阿拔斯 阿巴斯
abeier	阿贝尔
abi	阿鼻
abingma	阿炳妈
abirang	阿比让
abixiniya	阿比西尼亚
aboding	阿伯丁
abodu	阿卜杜
abodula	阿卜杜拉
abodulei	阿卜杜勒
aboluo	阿波罗
aboluohao	阿波罗号
abuhazi	阿布哈兹
abuzhabi	阿布扎比
achangzu	阿昌族
acheng	阿城
adama	阿达马
adaofu	阿道夫
adeng	阿登
adidasi	阿迪达斯
adie	阿爹
adong	阿东
adou	阿斗
aerbaniya	阿尔巴尼亚
aerbaniyaren	阿尔巴尼亚人
aerbeisi	阿尔卑斯
aerbeisishan	阿尔卑斯山
aerbeisishanmai	阿尔卑斯山脉
aerbeisishanqu	阿尔卑斯山区
aerbote	阿尔伯特
aerfa	阿尔法
aerfulei	阿尔弗雷
aerjier	阿尔及尔
aerjiliya	阿尔及利亚
aerjin	阿尔金
aerjinshan	阿尔金山
aerka	阿尔喀 阿尔卡
aerkate	阿尔卡特
aersasi	阿尔萨斯
aershan	阿尔山
aersite	阿尔斯特
aertai	阿尔泰
aertaishan	阿尔泰山
aertaishanmai	阿尔泰山脉
aerte	阿尔忒
aerwa	阿尔瓦
aerwen	阿尔文
aerxibofu	阿尔希波夫
afaer	阿法尔
afangsuo	阿方索
afanti	阿凡提
afei	阿飞
afu	阿芙
afuer	阿弗尔
afuhan	阿富汗
afuhanren	阿富汗人
age	阿哥 阿格
agebu	阿格布
ageli	阿格利
agen	阿根
agenting	阿根廷
agentingdui	阿根廷队
agong	阿公
agubai	阿古柏
aha	啊哈 阿哈
ahong	阿訇
ai	爱 唉 埃 挨 矮 哎 哀 艾 癌 碍 嗳 隘 啀 捱 敱 瑷 壒 叆 蔼 霭 嗌 噯 砹 毐 譺 嫒 锿 暧 娾 溾 愛 皧
aiai	皑皑 霭霭
aiaide	矮矮的
aiaoni	爱奥尼
aibeier	埃贝尔
aibian	癌变
aibidan	爱庇丹
aibote	艾伯特
aibushishou	爱不释手
aichou	哀愁
aichunrong	艾春荣
aici	挨次
aida	挨打
aidai	爱戴
aidao	哀悼
aidehua	爱德华
aidehuazi	爱德华兹
aideli	艾德礼
aideng	矮凳
aidi	哀帝
aidingbao	爱丁堡
aidingbaodaxue	爱丁堡大学
aidingdun	爱丁顿
aidinghu	艾丁湖
aidisheng	爱迪生
aidou	挨斗
aiduo	爱多
aie	挨饿
aierdun	埃尔顿
aierhu	艾尔湖
aierlan	爱尔兰
aierlandao	爱尔兰岛
aierlanren	爱尔兰人
aiermi	埃尔米
aiersi	埃尔斯
aierwen	埃尔文
aifu	爱抚
aifudun	埃弗顿
aifudundui	埃弗顿队
aifuer	埃伏尔
aifulun	埃夫伦
aigangjingye	爱岗敬业
aigao	哀告
aige	挨个 哀歌
aigeer	挨个儿
aigezi	矮个子
aiguo	爱国
aiguohuaqiao	爱国华侨
aiguorenshi	爱国人士
aiguotongyizhanxian	爱国统一战线
aiguoxin	爱国心
aiguozhe	爱国者
aiguozhishi	爱国志士
aiguozhuyi	爱国主义
aihamaide	艾哈迈德
aihamaidi	艾哈迈迪
aihao	爱好 哀号 哀嚎
aihaozhe	爱好者
aihe	爱河
aihu	爱护
aihua	矮化
aiji	埃及
aijia	爱家
aijiaaihu	挨家挨户
aijiang	爱将
aijin	挨近
aijiu	艾灸
aiju	埃居
aikan	爱看
aikefang	埃克芳
aikeman	埃克曼
aikesen	埃克森
aikou	隘口
aila	埃拉
ailan	埃兰
ailaoshan	哀牢山
ailatuo	埃拉托
aile	哀乐 爱乐
aileili	埃雷利
aileite	爱勒特
aileyuetuan	爱乐乐团
aili	埃里
ailian	爱怜 爱恋 哀怜
ailibuli	爱理不理
ailike	埃里克
ailikesen	埃里克森
ailin	矮林
ailinuo	埃莉诺
ailisi	爱丽丝 埃利斯
ailiu	癌瘤
ailiwen	埃里温
ailixin	爱立信
ailixingongsi	爱立信公司
ailun	艾伦 爱伦
ailv	爱侣
ailvete	艾略特
ailvsi	埃吕司
aima	挨骂 爱马 爱玛
aimei	暧昧 爱美
aimier	埃米尔
aimin	爱民
aiming	哀鸣
aimonengzhu	爱莫能助
aimu	爱慕
ainv	爱女
aipang	矮胖
aipi	挨批
aiqi	爱妻 嗳气
aiqiang	矮墙
aiqie	爱妾
aiqin	爱琴
aiqing	爱情 艾青
aiqinhai	爱琴海
aiqiu	哀求
aiqixun	艾奇逊
airen	爱人
airong	艾绒
aisaiebiya	埃塞俄比亚
aisen	埃森
aisenhaoweier	艾森豪威尔
aishang	哀伤
aishaniya	爱沙尼亚
aishen	爱神
aishengtanqi	唉声叹气
aishi	碍事
aishouaijiao	碍手碍脚
aisi	哀思 埃斯
aisijimo	爱斯基摩
aisiku	埃斯库
aisite	埃斯特
aisituo	埃斯托
aitan	哀叹
aite	埃特
aitong	哀痛 哀恸
aitu	爱徒
aituoao	埃托奥
aiwan	哀婉
aiwensi	埃文斯
aiwujiwu	爱屋及乌
aixi	爱惜
aixiao	矮小
aixiaohong	艾小红
aixibao	癌细胞
aixin	爱心
aixinjueluo	爱新觉罗
aiya	哎呀
aiyaya	哎呀呀
aiye	艾叶
aiyi	爱意
aiyinhuowen	埃因霍温
aiyinsitan	爱因斯坦
aiyo	哎哟
aiyu	碍于
aiyuan	哀怨
aizeng	爱憎
aizengfenming	爱憎分明
aizhe	挨着
aizheng	癌症 挨整
aizhong	癌肿
aizhongbang	爱重邦
aizi	矮子 爱子 艾滋
aizibing	艾滋病
aizibingdu	艾滋病毒
aizou	挨揍
ajiaxi	阿加西
ajige	阿济格
ajiluo	阿基洛
ajimide	阿基米德
ajin	阿金
ajini	阿季尼
ajinuo	阿基诺
ajiyasi	阿基亚斯
aka	阿卡
akade	阿卡德
akashen	阿卡什
akaya	阿卡亚
akayefu	阿卡耶夫
ake	阿克
akeba	阿克巴
akela	阿克拉
akensezhou	阿肯色州
akesu	阿克苏
akesuhe	阿克苏河
ala	阿拉
alabo	阿拉伯
alabobandao	阿拉伯半岛
alabodiqu	阿拉伯地区
alabohai	阿拉伯海
alabohe	阿拉伯河
alabolianheqiuzhangguo	阿拉伯联合酋长国
alaboren	阿拉伯人
alaboshuzi	阿拉伯数字
alabowen	阿拉伯文
alaboyu	阿拉伯语
alabu	阿拉布
alafate	阿拉法特
alagong	阿拉贡
